Species,Diet
Aepeomys reigi,Omnivore
Akodon aerosus,Omnivore
Akodon affinis,Omnivore
Akodon albiventer,Carnivore
Akodon aliquantulus,Carnivore
Akodon azarae,Omnivore
Akodon bogotensis,Omnivore
Akodon boliviensis,Omnivore
Akodon budini,Omnivore
Akodon cursor,Omnivore
Akodon dayi,Omnivore
Akodon dolores,Omnivore
Akodon fumeus,Omnivore
Akodon iniscatus,Omnivore
Akodon juninensis,Omnivore
Akodon kofordi,Omnivore
Akodon latebricola,Omnivore
Akodon leucolimnaeus,Omnivore
Akodon lindberghi,Omnivore
Akodon lutescens,Omnivore
Akodon mimus,Omnivore
Akodon molinae,Omnivore
Akodon mollis,Omnivore
Akodon montensis,Omnivore
Akodon mystax,Omnivore
Akodon neocenus,Omnivore
Akodon oenos,Omnivore
Akodon orophilus,Omnivore
Akodon paranaensis,Omnivore
Akodon pervalens,Omnivore
Akodon philipmyersi,Omnivore
Akodon reigi,Omnivore
Akodon sanctipaulensis,Omnivore
Akodon serrensis,Omnivore
Akodon siberiae,Omnivore
Akodon simulator,Omnivore
Akodon spegazzinii,Omnivore
Akodon subfuscus,Omnivore
Akodon surdus,Omnivore
Akodon sylvanus,Omnivore
Akodon toba,Omnivore
Akodon torques,Omnivore
Akodon varius,Omnivore
Allocricetulus curtatus,Herbivore
Allocricetulus eversmanni,Omnivore
Alticola albicaudus,Herbivore
Alticola argentatus,Herbivore
Alticola barakshin,Herbivore
Alticola lemminus,Herbivore
Alticola macrotis,Herbivore
Alticola montosa,Herbivore
Alticola olchonensis,Herbivore
Alticola roylei,Herbivore
Alticola semicanus,Herbivore
Alticola stoliczkanus,Herbivore
Alticola strelzowi,Herbivore
Alticola tuvinicus,Herbivore
Amphinectomys savamis,Omnivore
Andalgalomys olrogi,Omnivore
Andalgalomys pearsoni,Omnivore
Andinomys edax,Herbivore
Anotomys leander,Carnivore
Arborimus albipes,Herbivore
Arborimus longicaudus,Herbivore
Arborimus pomo,Herbivore
Arvicola amphibius,Omnivore
Arvicola sapidus,Herbivore
Arvicola scherman,Herbivore
Auliscomys boliviensis,Herbivore
Auliscomys pictus,Herbivore
Auliscomys sublimis,Herbivore
Baiomys musculus,Omnivore
Baiomys taylori,Herbivore
Bibimys chacoensis,Herbivore
Bibimys labiosus,Herbivore
Bibimys torresi,Herbivore
Blanfordimys afghanus,Herbivore
Blanfordimys bucharensis,Herbivore
Blarinomys breviceps,Carnivore
Brucepattersonius albinasus,Omnivore
Brucepattersonius griserufescens,Omnivore
Brucepattersonius guarani,Omnivore
Brucepattersonius igniventris,Omnivore
Brucepattersonius iheringi,Omnivore
Brucepattersonius misionensis,Omnivore
Brucepattersonius paradisus,Omnivore
Brucepattersonius soricinus,Omnivore
Calomys boliviae,Herbivore
Calomys callidus,Herbivore
Calomys callosus,Herbivore
Calomys expulsus,Herbivore
Calomys fecundus,Herbivore
Calomys hummelincki,Herbivore
Calomys laucha,Herbivore
Calomys lepidus,Herbivore
Calomys musculinus,Herbivore
Calomys sorellus,Herbivore
Calomys tener,Herbivore
Calomys tocantinsi,Herbivore
Calomys venustus,Herbivore
Cansumys canus,Herbivore
Caryomys eva,Herbivore
Caryomys inez,Omnivore
Cerradomys andersoni,Omnivore
Cerradomys maracajuensis,Omnivore
Cerradomys marinhus,Omnivore
Cerradomys scotti,Omnivore
Cerradomys subflavus,Omnivore
Chelemys delfini,Omnivore
Chelemys macronyx,Omnivore
Chelemys megalonyx,Omnivore
Chibchanomys orcesi,Carnivore
Chibchanomys trichotis,Carnivore
Chilomys instans,Omnivore
Chinchillula sahamae,Herbivore
Chionomys gud,Herbivore
Chionomys nivalis,Herbivore
Chionomys roberti,Herbivore
Cricetulus alticola,Herbivore
Cricetulus barabensis,Herbivore
Cricetulus kamensis,Omnivore
Cricetulus lama,Omnivore
Cricetulus longicaudatus,Herbivore
Cricetulus migratorius,Carnivore
Cricetulus sokolovi,Herbivore
Cricetulus tibetanus,Herbivore
Cricetus cricetus,Omnivore
Delomys collinus,Omnivore
Delomys dorsalis,Omnivore
Delomys sublineatus,Omnivore
Deltamys kempi,Omnivore
Dicrostonyx groenlandicus,Herbivore
Dicrostonyx hudsonius,Herbivore
